# Percentages belastingrente inkomstenbelasting
#
# Dit bestand staat woordelijk gelijk in twee repository's: Berekeningen en
# belastingtooljoindk. Beide tools gebruiken dezelfde percentagereeks, maar doen
# er iets anders mee: Berekeningen past de tegenbewijsregeling van art. 30i lid 3
# AWR toe in hele maanden, belastingtooljoindk rekent een aanslag met dagtelling
# en aanslagtermijnen. De reeks is daarmee gedeeld gegeven, geen gedeelde code.
#
# Elke repository heeft een test die haar eigen constante tegen dit bestand legt.
# Die test faalt zodra de code en dit bestand uiteenlopen. Of de twee BESTANDEN
# nog gelijk zijn kan een test niet zien, want de repository's zien elkaar niet;
# daarvoor is de losse controle in PostbusClaude/controle_rentereeks.py.
#
# Wijzig je de reeks, doe het dan in beide repository's en draai die controle.
#
# Bron: belastingdienst.nl, "Overzicht percentages belastingrente", tabel
# "Percentages alle belastingen (m.u.v. toeslagen en vennootschapsbelasting)".
# De ingangsdatum 1 juli 2020 is de uitzondering voor de inkomstenbelasting uit de
# Verzamelspoedwet COVID-19, Stb. 2020, 200; voor de meeste andere belastingen ging
# die verlaging per 1 juni 2020 in.
#
# De reeks eindigt bewust bij december 2026. Het percentage wordt jaarlijks per
# 1 januari vastgesteld; verleng haar pas nadat het nieuwe percentage is
# teruggevonden in de bron.
#
# Vorm: <vanaf> <tot en met> <percentage>, met jaar-maand en een decimale komma.

2012-01 2012-03 2,85
2012-04 2012-06 2,30
2012-07 2012-09 2,50
2012-10 2012-12 2,25
2013-01 2014-03 3,00
2014-04 2020-06 4,00
2020-07 2020-09 0,01
2020-10 2023-06 4,00
2023-07 2023-12 6,00
2024-01 2024-12 7,50
2025-01 2025-12 6,50
2026-01 2026-12 5,00
